symbol,name_cn,exchange,currency,lot_size,total_shares,circulating_shares,hk_shares,eps,eps_ttm,bps,dividend_yield,stock_derivatives,board
003008.SZ,开普检测,SZSE,CNY,100,104000000,104000000,0,0.82,0.8406142359615385,10.117906272115384,1.0,[],SZMainNonConnect
003009.SZ,中天火箭,SZSE,CNY,100,155433268,155433268,0,0.1259,-0.1737239762597027,9.894455504081662,0.0569855109139184,[],SZMainConnect
003010.SZ,若羽臣,SZSE,CNY,100,311059476,311059476,0,0.3214,0.4909204215980869,2.5218568736353175,0.4692909757232408,[],SZMainConnect
003011.SZ,海象新材,SZSE,CNY,100,102676000,102676000,0,0.49,1.3523421632124353,13.766279674704897,0.5940827457244147,[],SZMainNonConnect
003012.SZ,东鹏控股,SZSE,CNY,100,1156981158,1156981158,0,0.28,0.31879597187874,6.585778935157041,0.243005987224556,[],SZMainConnect
003013.SZ,地铁设计,SZSE,CNY,100,408326898,400010000,0,1.23,1.3275906898741705,7.139359395765302,0.48,[],SZMainConnect
003015.SZ,日久光电,SZSE,CNY,100,281066667,281066667,0,0.25,0.3132924316137424,3.8773139455202634,0.1965638757156501,[],SZMainNonConnect
003016.SZ,欣贺股份,SZSE,CNY,100,420521612,420521612,0,-0.161,-0.0659816650755158,6.368229382560248,0.0,[],SZMainNonConnect
003017.SZ,大洋生物,SZSE,CNY,100,84000000,83005930,0,0.776999,1.101394286904762,13.065130167738095,0.59644975,[],SZMainNonConnect
003018.SZ,金富科技,SZSE,CNY,100,260000000,260000000,0,0.54,0.4563428652307692,6.128124225307692,0.3,[],SZMainNonConnect
003019.SZ,宸展光电,SZSE,CNY,100,176772517,170865267,0,1.1,1.0256022862988368,9.427683224706248,0.4989353407238072,[],SZMainConnect
003020.SZ,立方制药,SZSE,CNY,100,190182182,190182182,0,0.84,0.854755421409562,9.459094184596115,0.5017009763827402,[],SZMainConnect
003021.SZ,兆威机电,SZSE,CNY,100,240708200,240080350,0,0.94,1.0267918915516796,14.153928370034755,0.2844024320733569,[],SZMainConnect
003022.SZ,联泓新科,SZSE,CNY,100,1335568000,1335568000,0,0.18,0.2160234987585806,5.524753491585603,0.06,[],SZMainConnect
003023.SZ,彩虹集团,SZSE,CNY,100,105341600,105134354,0,1.0403,0.7769356803010397,14.693869175520403,0.4,[],SZMainNonConnect
003025.SZ,思进智能,SZSE,CNY,100,283953558,283953558,0,0.6417,0.510269588451503,4.370750843065682,0.1833333333333333,[],SZMainNonConnect
003026.SZ,中晶科技,SZSE,CNY,100,129619000,129619000,0,0.175848,0.339176482382984,5.079359011101768,0.1495371048997446,[],SZMainNonConnect
003027.SZ,同兴科技,SZSE,CNY,100,130723200,130723200,0,0.3,0.6235652706635088,13.059005483265404,0.2932678361606815,[],SZMainNonConnect
003028.SZ,振邦智能,SZSE,CNY,100,144711000,144120150,0,1.4,1.0032218892136742,12.145732455929403,0.4961271036756017,[],SZMainConnect
003029.SZ,吉大正元,SZSE,CNY,100,193620227,182069100,0,-0.71,-0.7274253641898684,5.575012489836612,0.0,[],SZMainConnect
003030.SZ,祖名股份,SZSE,CNY,100,124780000,124780000,0,-0.2,0.1529429704279532,8.163122644093605,0.1492760859112037,[],SZMainNonConnect
003031.SZ,中瓷电子,SZSE,CNY,100,451052859,340156696,0,1.2,1.3596120344068143,13.951664927236388,0.42,[],SZMainConnect
003032.SZ,*ST传智,SZSE,CNY,100,402447500,402447500,0,-0.33,-0.2515061267121798,3.1146887939917627,0.0,[],SZMainConnect
003033.SZ,征和工业,SZSE,CNY,100,81750000,81750000,0,1.6,2.029104743363914,16.5606241782263,0.5,[],SZMainNonConnect
003035.SZ,南网能源,SZSE,CNY,100,3787878787,3787878787,0,-0.02,0.0348816382043325,1.8403461206532004,0.007000000000264,[],SZMainConnect
003036.SZ,泰坦股份,SZSE,CNY,100,216270957,216270957,0,0.41,0.2310376351642999,6.395517937528709,0.1238681627972821,[],SZMainNonConnect
003037.SZ,三和管桩,SZSE,CNY,100,599074678,599074678,0,0.04,0.141708314618499,4.680617976912721,0.049769474649703,[],SZMainConnect
003038.SZ,鑫铂股份,SZSE,CNY,100,243695765,240005765,0,0.68,0.1598322997118969,12.315088821588672,0.1957797379039394,[],SZMainConnect
003039.SZ,顺控发展,SZSE,CNY,100,617518730,617518730,0,0.4346,0.4412392473018592,4.556054008369916,0.21,[],SZMainConnect
003040.SZ,楚天龙,SZSE,CNY,100,461135972,456850258,0,0.05,0.0127329159001285,3.0376281805879155,0.03,[],SZMainConnect
003041.SZ,真爱美家,SZSE,CNY,100,144000000,144000000,0,0.53,1.7359512970138888,10.162669740833334,0.8,[],SZMainNonConnect
003042.SZ,中农联合,SZSE,CNY,100,142480000,142480000,0,-0.86,-0.7806082733717012,9.213842327063448,0.0,[],SZMainNonConnect
003043.SZ,华亚智能,SZSE,CNY,100,133830762,128222586,0,0.6786,0.4755363278885014,12.903896577305597,0.2130153887937962,[],SZMainConnect
003816.SZ,中国广核,SZSE,CNY,100,50498611100,39334986100,0,0.214,0.1861678504753965,2.441623484667878,0.095,[],SZMainConnect
300001.SZ,特锐德,SZSE,CNY,100,1055537713,1045158813,0,0.89,1.0948583203772275,7.59935315731348,0.1488558428702964,[],SZGEMConnect
300002.SZ,神州泰岳,SZSE,CNY,100,1967173866,1967173866,0,0.7288,0.5380240131555306,3.8549893854222237,0.0997657089655541,[],SZGEMConnect
300003.SZ,乐普医疗,SZSE,CNY,100,1843396544,1750420094,0,0.1336,0.2312767987266011,8.251436086678483,0.2977498868469182,[],SZGEMConnect
300004.SZ,南风股份,SZSE,CNY,100,479993598,479993598,0,0.16,0.1374448539624064,3.707939079449972,0.0,[],SZGEMConnect
300005.SZ,探路者,SZSE,CNY,100,883702186,883702186,0,0.1253,0.0429035463651099,2.3724961346084075,0.0114736046494288,[],SZGEMConnect
300006.SZ,莱美药业,SZSE,CNY,100,1055911205,1055911205,0,-0.0832,-0.1016230644318241,1.7413202464216675,0.0,[],SZGEMConnect
300007.SZ,汉威科技,SZSE,CNY,100,327445619,327445619,0,0.23,0.2495989187138888,8.87467515999962,0.04,[],SZGEMConnect
300008.SZ,天海防务,SZSE,CNY,100,1728029133,1647716633,0,0.0802,0.1698342400226189,1.3522034546566872,0.0,[],SZGEMConnect
300009.SZ,安科生物,SZSE,CNY,100,1671320708,1670285708,0,0.4223,0.4001097288444535,2.49064843452535,0.1497319315210687,[],SZGEMConnect
300010.SZ,豆神教育,SZSE,CNY,100,2066612659,1700267325,0,0.0664,0.0571142566392264,0.8627939970535136,0.0,[],SZGEMConnect
300011.SZ,鼎汉技术,SZSE,CNY,100,605555387,558650387,0,0.0199,0.0135527998366234,2.580599625711859,0.0,[],SZGEMConnect
300012.SZ,华测检测,SZSE,CNY,100,1682828214,1682828214,0,0.55,0.586283020252476,4.491309832240548,0.1491086434209261,[],SZGEMConnect
